millis,voltage0,voltage1,voltage2,voltage3,temp
998, 2.43, 2.21, 1.90, 1.80, 23.75
1999, 1.95, 1.93, 1.79, 1.74, 23.75
2999, 1.76, 1.76, 1.65, 1.64, 23.75
3999, 1.69, 1.71, 1.63, 1.61, 23.69
4999, 1.72, 1.72, 1.62, 1.59, 23.69
6000, 1.68, 1.69, 1.61, 1.60, 23.69
6999, 1.72, 1.74, 1.65, 1.62, 23.69
7999, 1.68, 1.70, 1.63, 1.61, 23.62
8999, 1.69, 1.69, 1.60, 1.59, 23.62
9999, 1.68, 1.69, 1.61, 1.59, 23.62
10999, 1.66, 1.68, 1.61, 1.60, 23.62
11999, 1.69, 1.71, 1.62, 1.60, 23.56
13000, 1.71, 1.72, 1.64, 1.62, 23.56
13999, 1.73, 1.74, 1.66, 1.62, 23.56
15000, 1.67, 1.70, 1.64, 1.64, 23.50
16000, 1.64, 1.64, 1.55, 1.56, 23.50
16999, 1.63, 1.65, 1.57, 1.56, 23.44
18000, 1.67, 1.69, 1.64, 1.63, 23.44
19000, 1.79, 1.83, 1.77, 1.73, 23.44
19998, 1.95, 1.99, 1.95, 1.90, 23.44
21000, 1.85, 1.82, 1.77, 1.79, 23.44
22000, 1.72, 1.71, 1.64, 1.65, 23.44
22999, 1.67, 1.65, 1.57, 1.60, 23.44
24000, 1.65, 1.63, 1.55, 1.57, 23.37
24998, 1.57, 1.55, 1.47, 1.50, 23.37
25999, 1.45, 1.41, 1.30, 1.33, 23.37
26999, 1.57, 1.59, 1.52, 1.51, 23.37
27999, 1.71, 1.71, 1.63, 1.60, 23.37
28999, 1.68, 1.67, 1.61, 1.61, 23.37
30000, 1.69, 1.67, 1.60, 1.60, 23.37
30999, 1.68, 1.67, 1.58, 1.58, 23.37
32000, 1.67, 1.65, 1.56, 1.56, 23.37
32999, 1.69, 1.68, 1.60, 1.59, 23.37
33999, 1.71, 1.71, 1.61, 1.59, 23.44
35000, 1.70, 1.68, 1.60, 1.59, 23.44
35998, 1.70, 1.69, 1.59, 1.58, 23.44
36999, 1.68, 1.69, 1.59, 1.56, 23.44
38000, 1.68, 1.67, 1.57, 1.56, 23.44
38999, 1.68, 1.68, 1.58, 1.56, 23.44
39999, 1.67, 1.69, 1.60, 1.56, 23.44
40998, 1.68, 1.68, 1.59, 1.57, 23.44
41999, 1.66, 1.68, 1.61, 1.58, 23.44
42998, 1.68, 1.69, 1.60, 1.58, 23.44
43999, 1.67, 1.68, 1.58, 1.56, 23.44
44999, 1.67, 1.68, 1.59, 1.57, 23.44
45999, 1.68, 1.70, 1.62, 1.60, 23.44
46999, 1.66, 1.67, 1.61, 1.60, 23.44
47998, 1.67, 1.69, 1.61, 1.60, 23.37
48999, 1.68, 1.70, 1.62, 1.60, 23.37
49999, 1.68, 1.70, 1.63, 1.61, 23.37
50999, 1.67, 1.68, 1.61, 1.60, 23.37
51999, 1.66, 1.65, 1.58, 1.60, 23.37
